iter	Passed	Remaining
0	1	1769
1	3	1575
2	4	1641
3	6	1701
4	8	1731
5	10	1710
6	11	1681
7	13	1655
8	14	1623
9	16	1597
10	18	1620
11	19	1636
12	21	1646
13	23	1648
14	24	1634
15	26	1626
16	28	1634
17	30	1639
18	31	1649
19	33	1641
20	35	1633
21	36	1625
22	38	1620
23	39	1622
24	42	1639
25	44	1650
26	45	1650
27	47	1646
28	49	1647
29	50	1648
30	52	1652
31	54	1661
32	56	1667
33	58	1666
34	60	1661
35	62	1662
36	63	1662
37	65	1668
38	67	1673
39	69	1669
40	71	1667
41	73	1666
42	74	1667
43	77	1675
44	79	1679
45	81	1683
46	82	1681
47	84	1678
48	86	1679
49	88	1680
50	90	1682
51	91	1676
52	93	1672
53	95	1669
54	96	1665
55	98	1665
56	100	1667
57	102	1670
58	104	1668
59	106	1667
60	108	1663
61	110	1666
62	112	1672
63	114	1677
64	116	1680
65	118	1680
66	120	1675
67	122	1674
68	124	1681
69	126	1681
70	128	1677
71	129	1672
72	131	1667
73	132	1662
74	134	1655
75	135	1653
76	137	1652
77	139	1649
78	140	1643
79	142	1637
80	144	1633
81	145	1628
82	146	1615
83	148	1617
84	150	1617
85	151	1613
86	153	1609
87	154	1606
88	156	1602
89	158	1598
90	160	1598
91	161	1596
92	163	1593
93	164	1589
94	166	1587
95	168	1584
96	169	1581
97	171	1582
98	173	1582
99	175	1578
100	176	1574
101	178	1570
102	179	1565
103	181	1563
104	183	1560
105	185	1560
106	186	1557
107	188	1555
108	190	1553
109	191	1552
110	193	1549
111	195	1551
112	197	1550
113	199	1547
114	200	1544
115	202	1541
116	203	1538
117	205	1536
118	207	1535
119	209	1535
120	211	1535
121	212	1531
122	214	1529
123	216	1529
124	218	1529
125	220	1530
126	222	1526
127	223	1525
128	225	1523
129	227	1519
130	228	1516
131	230	1515
132	232	1513
133	233	1510
134	235	1508
135	236	1505
136	238	1503
137	240	1501
138	242	1502
139	244	1499
140	245	1497
141	247	1493
142	248	1491
143	250	1488
144	251	1485
145	253	1483
146	255	1484
147	257	1483
148	259	1481
149	260	1478
150	262	1476
151	264	1472
152	265	1470
153	267	1469
154	269	1466
155	270	1464
156	272	1463
157	274	1460
158	275	1458
159	277	1457
160	279	1454
161	280	1452
162	282	1449
163	283	1447
164	285	1444
165	286	1441
166	288	1438
167	290	1438
168	292	1438
169	294	1436
170	295	1434
171	297	1434
172	299	1432
173	301	1430
174	303	1429
175	305	1428
176	306	1427
177	308	1426
178	310	1425
179	312	1422
180	314	1422
181	316	1422
182	318	1421
183	320	1421
184	322	1419
185	323	1417
186	326	1417
187	328	1417
188	330	1416
189	331	1415
190	333	1414
191	335	1412
192	337	1412
193	339	1411
194	341	1410
195	343	1410
196	345	1408
197	347	1405
198	349	1405
199	351	1405
200	353	1404
201	355	1402
202	356	1400
203	358	1399
204	360	1399
205	362	1398
206	364	1396
207	366	1395
208	368	1394
209	370	1392
210	371	1390
211	374	1390
212	376	1389
213	378	1388
214	380	1388
215	381	1385
216	384	1385
217	385	1384
218	387	1383
219	389	1382
220	391	1380
221	393	1378
222	395	1376
223	397	1375
224	399	1374
225	401	1373
226	403	1373
227	404	1371
228	406	1369
229	408	1368
230	410	1367
231	412	1366
232	415	1366
233	416	1364
234	418	1361
235	420	1360
236	422	1359
237	424	1357
238	425	1355
239	427	1354
240	429	1352
241	431	1351
242	433	1350
243	435	1348
244	437	1347
245	438	1344
246	440	1343
247	442	1341
248	444	1341
249	446	1339
250	448	1337
251	449	1334
252	451	1332
253	453	1331
254	455	1330
255	457	1329
256	459	1328
257	461	1326
258	463	1324
259	464	1323
260	466	1321
261	468	1319
262	470	1318
263	472	1316
264	473	1314
265	475	1312
266	477	1311
267	479	1310
268	482	1309
269	483	1308
270	485	1306
271	487	1304
272	489	1303
273	491	1303
274	493	1302
275	495	1300
276	497	1298
277	499	1296
278	501	1294
279	503	1294
280	505	1292
281	507	1291
282	508	1289
283	510	1286
284	511	1284
285	513	1282
286	516	1282
287	518	1281
288	519	1279
289	521	1277
290	523	1275
291	525	1273
292	527	1272
293	529	1271
294	531	1269
295	533	1268
296	534	1266
297	536	1263
298	538	1262
299	540	1260
300	542	1258
301	543	1257
302	545	1254
303	547	1252
304	549	1251
305	551	1250
306	553	1249
307	555	1247
308	556	1245
309	558	1243
310	560	1241
311	562	1240
312	564	1239
313	566	1237
314	568	1235
315	569	1233
316	571	1231
317	573	1229
318	575	1227
319	577	1226
320	578	1224
321	580	1222
322	581	1219
323	583	1217
324	585	1215
325	587	1214
326	589	1212
327	590	1210
328	592	1208
329	593	1205
330	595	1203
331	597	1201
332	599	1199
333	600	1197
334	602	1195
335	603	1193
336	605	1191
337	606	1188
338	608	1186
339	610	1184
340	612	1182
341	613	1180
342	615	1178
343	616	1176
344	618	1174
345	620	1172
346	622	1171
347	623	1168
348	625	1166
349	627	1165
350	629	1163
351	630	1161
352	632	1160
353	634	1158
354	636	1156
355	638	1154
356	640	1152
357	641	1150
358	643	1149
359	645	1147
360	647	1145
361	648	1143
362	650	1141
363	651	1138
364	653	1136
365	654	1134
366	657	1133
367	658	1131
368	660	1129
369	662	1128
370	664	1126
371	666	1125
372	669	1124
373	671	1123
374	673	1121
375	675	1120
376	676	1118
377	678	1115
378	679	1113
379	682	1113
380	684	1111
381	685	1109
382	687	1107
383	688	1105
384	690	1102
385	692	1101
386	694	1099
387	695	1097
388	697	1095
389	698	1093
390	700	1090
391	702	1088
392	703	1087
393	705	1085
394	707	1083
395	709	1082
396	711	1080
397	712	1077
398	714	1076
399	716	1075
400	718	1073
401	720	1072
402	722	1069
403	723	1067
404	725	1065
405	726	1063
406	728	1061
407	730	1060
408	732	1058
409	733	1055
410	735	1053
411	737	1051
412	738	1049
413	740	1047
414	742	1046
415	743	1044
416	745	1042
417	747	1040
418	748	1038
419	750	1036
420	752	1035
421	754	1033
422	756	1031
423	757	1029
424	759	1027
425	760	1025
426	762	1023
427	764	1021
428	766	1019
429	767	1017
430	769	1015
431	770	1013
432	772	1011
433	773	1008
434	775	1007
435	777	1005
436	779	1004
437	781	1002
438	782	1000
439	784	998
440	785	995
441	787	994
442	789	992
443	791	990
444	793	989
445	794	987
446	796	985
447	797	983
448	799	981
449	801	979
450	803	977
451	804	975
452	806	973
453	808	971
454	810	970
455	812	969
456	814	967
457	816	965
458	817	963
459	819	961
460	820	959
461	822	957
462	824	955
463	825	954
464	827	951
465	829	950
466	830	948
467	832	946
468	834	944
469	836	942
470	837	941
471	839	939
472	840	936
473	842	934
474	843	932
475	845	930
476	847	929
477	849	927
478	851	926
479	853	924
480	854	922
481	856	920
482	858	918
483	860	917
484	862	915
485	863	913
486	865	911
487	867	909
488	868	907
489	871	906
490	873	905
491	875	903
492	877	902
493	878	900
494	880	898
495	883	897
496	884	895
497	886	893
498	888	892
499	890	890
500	892	889
501	894	887
502	896	886
503	898	884
504	900	882
505	902	881
506	904	879
507	906	877
508	908	876
509	910	874
510	911	872
511	913	871
512	915	869
513	917	867
514	919	866
515	921	864
516	923	862
517	925	860
518	927	859
519	930	858
520	931	856
521	933	855
522	935	853
523	937	851
524	938	849
525	941	847
526	943	846
527	945	845
528	947	843
529	949	842
530	951	840
531	954	839
532	956	837
533	958	836
534	960	834
535	962	832
536	963	831
537	966	829
538	968	828
539	970	826
540	972	824
541	973	822
542	975	821
543	977	819
544	979	818
545	981	816
546	983	814
547	985	812
548	986	810
549	989	809
550	991	807
551	993	806
552	995	804
553	997	802
554	998	800
555	1000	799
556	1002	797
557	1004	795
558	1006	794
559	1008	792
560	1010	790
561	1012	789
562	1014	787
563	1016	785
564	1018	784
565	1020	782
566	1022	780
567	1024	778
568	1026	777
569	1028	775
570	1029	773
571	1031	771
572	1033	770
573	1035	768
574	1037	766
575	1039	765
576	1041	763
577	1042	761
578	1044	759
579	1046	757
580	1048	756
581	1050	754
582	1052	752
583	1054	751
584	1056	749
585	1057	747
586	1059	745
587	1062	744
588	1064	742
589	1065	740
590	1067	738
591	1069	737
592	1071	735
593	1073	733
594	1075	731
595	1076	729
596	1078	727
597	1080	726
598	1081	724
599	1084	722
600	1085	720
601	1087	719
602	1089	717
603	1091	715
604	1093	713
605	1094	711
606	1096	710
607	1098	708
608	1100	706
609	1102	704
610	1103	702
611	1106	701
612	1108	699
613	1109	697
614	1111	695
615	1113	693
616	1115	692
617	1117	690
618	1119	688
619	1120	686
620	1122	684
621	1124	683
622	1126	681
623	1128	679
624	1129	677
625	1131	676
626	1133	674
627	1134	672
628	1138	671
629	1139	669
630	1141	667
631	1143	665
632	1145	664
633	1147	662
634	1149	660
635	1151	658
636	1153	657
637	1155	655
638	1156	653
639	1158	651
640	1161	650
641	1162	648
642	1164	646
643	1166	644
644	1168	643
645	1170	641
646	1172	639
647	1174	638
648	1176	636
649	1178	634
650	1180	632
651	1181	630
652	1183	629
653	1185	627
654	1187	625
655	1189	623
656	1191	622
657	1193	620
658	1196	618
659	1198	617
660	1200	615
661	1201	613
662	1203	611
663	1205	609
664	1207	608
665	1209	606
666	1211	604
667	1213	602
668	1214	601
669	1216	599
670	1217	597
671	1220	595
672	1222	593
673	1224	592
674	1225	590
675	1227	588
676	1229	586
677	1231	584
678	1233	583
679	1235	581
680	1237	579
681	1239	577
682	1241	576
683	1242	574
684	1245	572
685	1246	570
686	1248	568
687	1250	567
688	1252	565
689	1254	563
690	1256	561
691	1258	559
692	1260	558
693	1262	556
694	1264	554
695	1265	552
696	1268	551
697	1270	549
698	1272	547
699	1274	546
700	1276	544
701	1277	542
702	1280	541
703	1282	539
704	1284	537
705	1286	535
706	1288	533
707	1290	532
708	1292	530
709	1294	528
710	1296	526
711	1297	524
712	1299	523
713	1301	521
714	1303	519
715	1305	517
716	1307	516
717	1309	514
718	1311	512
719	1313	510
720	1315	508
721	1317	507
722	1319	505
723	1321	503
724	1323	501
725	1325	500
726	1327	498
727	1329	496
728	1331	494
729	1333	493
730	1334	491
731	1336	489
732	1338	487
733	1340	485
734	1342	483
735	1343	482
736	1345	480
737	1347	478
738	1348	476
739	1350	474
740	1352	472
741	1354	471
742	1356	469
743	1358	467
744	1359	465
745	1361	463
746	1363	461
747	1365	460
748	1367	458
749	1369	456
750	1370	454
751	1372	452
752	1374	450
753	1376	449
754	1378	447
755	1380	445
756	1382	443
757	1384	441
758	1386	440
759	1388	438
760	1390	436
761	1392	434
762	1394	433
763	1395	431
764	1398	429
765	1400	427
766	1402	426
767	1404	424
768	1406	422
769	1407	420
770	1410	418
771	1411	416
772	1413	415
773	1415	413
774	1417	411
775	1418	409
776	1421	407
777	1423	406
778	1424	404
779	1426	402
780	1428	400
781	1429	398
782	1431	396
783	1434	395
784	1435	393
785	1437	391
786	1439	389
787	1440	387
788	1442	385
789	1444	384
790	1446	382
791	1448	380
792	1450	378
793	1452	376
794	1454	375
795	1456	373
796	1458	371
797	1460	369
798	1461	367
799	1463	365
800	1465	364
801	1467	362
802	1469	360
803	1471	358
804	1472	356
805	1474	354
806	1476	353
807	1478	351
808	1480	349
809	1482	347
810	1484	345
811	1486	344
812	1488	342
813	1489	340
814	1491	338
815	1494	336
816	1496	335
817	1497	333
818	1499	331
819	1501	329
820	1503	327
821	1505	325
822	1506	324
823	1508	322
824	1510	320
825	1512	318
826	1513	316
827	1515	314
828	1517	313
829	1519	311
830	1520	309
831	1522	307
832	1524	305
833	1525	303
834	1528	302
835	1530	300
836	1532	298
837	1533	296
838	1535	294
839	1537	292
840	1539	291
841	1541	289
842	1542	287
843	1544	285
844	1546	283
845	1548	281
846	1549	279
847	1551	278
848	1553	276
849	1555	274
850	1557	272
851	1558	270
852	1560	268
853	1562	267
854	1564	265
855	1566	263
856	1567	261
857	1569	259
858	1570	257
859	1572	255
860	1574	254
861	1575	252
862	1577	250
863	1579	248
864	1580	246
865	1582	244
866	1583	242
867	1585	241
868	1587	239
869	1589	237
870	1591	235
871	1593	233
872	1595	232
873	1596	230
874	1598	228
875	1600	226
876	1601	224
877	1603	222
878	1604	220
879	1606	219
880	1608	217
881	1610	215
882	1612	213
883	1613	211
884	1615	209
885	1617	208
886	1618	206
887	1620	204
888	1622	202
889	1624	200
890	1626	198
891	1627	197
892	1629	195
893	1631	193
894	1633	191
895	1635	189
896	1636	187
897	1638	186
898	1640	184
899	1641	182
900	1643	180
901	1645	178
902	1647	176
903	1648	175
904	1650	173
905	1653	171
906	1654	169
907	1656	167
908	1658	166
909	1660	164
910	1662	162
911	1663	160
912	1665	158
913	1666	156
914	1668	154
915	1671	153
916	1673	151
917	1674	149
918	1676	147
919	1677	145
920	1679	144
921	1681	142
922	1683	140
923	1685	138
924	1687	136
925	1688	134
926	1690	133
927	1692	131
928	1694	129
929	1696	127
930	1698	125
931	1700	124
932	1702	122
933	1703	120
934	1705	118
935	1707	116
936	1709	114
937	1711	113
938	1713	111
939	1715	109
940	1717	107
941	1719	105
942	1721	104
943	1723	102
944	1724	100
945	1726	98
946	1728	96
947	1730	94
948	1732	93
949	1734	91
950	1736	89
951	1738	87
952	1740	85
953	1741	83
954	1743	82
955	1745	80
956	1747	78
957	1749	76
958	1751	74
959	1752	73
960	1754	71
961	1756	69
962	1758	67
963	1759	65
964	1761	63
965	1763	62
966	1765	60
967	1766	58
968	1768	56
969	1770	54
970	1772	52
971	1774	51
972	1776	49
973	1778	47
974	1780	45
975	1781	43
976	1783	41
977	1785	40
978	1786	38
979	1788	36
980	1791	34
981	1792	32
982	1794	31
983	1796	29
984	1798	27
985	1800	25
986	1802	23
987	1804	21
988	1806	20
989	1807	18
990	1809	16
991	1810	14
992	1812	12
993	1814	10
994	1816	9
995	1818	7
996	1819	5
997	1821	3
998	1823	1
999	1825	0
